agglomerativeclustering_1,dbscan_1,kmeans_1,gaussianmixture_1,agglomerativeclustering_2,dbscan_2,kmeans_2,gaussianmixture_2,agglomerativeclustering_3,dbscan_3,kmeans_3,gaussianmixture_3,agglomerativeclustering_4,dbscan_4,kmeans_4,gaussianmixture_4,agglomerativeclustering_5,dbscan_5,kmeans_5,gaussianmixture_5,agglomerativeclustering_6,dbscan_6,kmeans_6,gaussianmixture_6
0,0,8,2,0,0,7,23,0,0,6,1,0,0,4,6,0,0,19,0,0,0,2,0
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,11,1,0,2,1,1
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,0,8,2,0,0,7,23,0,0,6,1,0,0,4,6,0,0,19,0,0,0,2,0
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,0,8,2,0,0,7,23,0,0,6,1,0,0,4,6,0,0,19,0,0,0,2,0
0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,11,1,0,2,1,1
0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,11,1,0,2,1,1
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,4,3,7,0,4,13,5,0,4,16,15,0,4,15,8,0,4,2,13,0,4,10,11
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,5,0,9,0,5,0,32,0,5,0,18,0,5,0,12,1,5,0,11,0,5,0,19
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0,2,11,1,0,2,1,1
0,6,9,10,0,6,16,3,0,6,10,13,0,6,17,3,0,6,3,3,0,6,3,15
0,0,8,2,0,0,7,23,0,0,6,1,0,0,4,6,0,0,19,0,0,0,2,0
0,1,4,3,0,1,17,15,0,1,8,6,0,1,10,7,0,1,4,2,0,1,4,7
0,3,7,5,0,3,4,6,0,3,2,2,0,3,6,4,0,3,1,6,0,3,7,4
0,6,9,10,0,6,16,3,0,6,10,13,0,6,17,3,0,6,3,3,0,6,3,15
